Name der Klinik,Bewertung,Sternebewertung,Zufriedenheit,Polarity Level,Polarity Stimmung
Herzogin Elisabeth Hospital,"Es war alles im Vorfeld super organisiert und wurde dementsprechend gut umgesetzt. Ich kann es mir vom Ablauf und der Unterbringung in einem Krankenhaus nicht besser vorstellen. Von den Ärzten, über die Pfleger/Schwestern bis zur Reinigungskraft kommt eine durchweg gute, freundliche und tolle Stimmung/Atmosphäre rüber. So sollte das sein, wobei der Alltag sicherlich alles andere als Entspannt und ruhig ist! Die Zimmer, das Essen, Technik, Service etc. alles einfach top und zeitgemäß. Ich fühlte mich zu jeder Zeit sicher und geborgen! HEH wirklich stark!",5,Positiv,0.7285714285714286,Positiv
Herzogin Elisabeth Hospital,"Sehr schönes Krankenhaus, kann man jedem empfehlen.",5,Positiv,1.0,Positiv
Herzogin Elisabeth Hospital,"Die Notaufnahme ist ein Witz. Patienten werden vergessen die werden erst garnicht aufgenommen (weil es während eines schicht wechsel war). Die Pflegerin und die pfleger sichtlich genervt und unfreundlich. Meine Tochter mit 1,5 Jahren mit Schmerzen 3 stunden warten lassen obwohl nur 2 weitere Patienten da waren. Und dann wurde gesagt das es noch sehr lange dauert ob ich am nächsten Tag wieder kommen könnte einfach nur unverschämt ( von einem pfleger).",1,Negativ,-0.37,Negativ
Herzogin Elisabeth Hospital,"Vielen Dank für die gute Betreuung auf der Intensivstation. Sehr nettes Pflegepersonal,und ein sehr gutes Ärzte Team. Habe ende August nach einer Ambulanten Operation eine Nacht in der HEH- Klinik auf der Intensivstation Verbracht. Es gab Komplikationen nach der Vollnarkose. Am nächsten Morgen durfte ich wieder nachhause. Der einzige Nachteil war das, jeder neue Patient auf Covid19 getestet wird. Trotzdem waren alle sehr Hilfsbereit.",5,Positiv,0.35714285714285715,Positiv
Herzogin Elisabeth Hospital,"Ich habe mich in diesem Krankenhaus sehr gut aufgehoben gefühlt . Alle Mitarbeiter waren sehr freundlich und zuvorkommend,  trotz der augenblicklichen Situation.  Die Ärztinnen , die mich behandelt haben,  waren beide äußerst kompetent und zugewandt . Ich kann nur jedem dieses Krankenhaus empfehlen.",5,Positiv,0.9625,Positiv
Herzogin Elisabeth Hospital,"Schnell, sauber, korrekt.....",5,Positiv,0.85,Positiv
Herzogin Elisabeth Hospital,"Mein Arzt empfahl mir eine Einweisung ins Krankenhaus. Da ich sehr schlechte Erfahrungen mit Aufnahmen in Krankenhäusern abe, empfahl er mir, ins HEH zu gehen.  Tatsächlich war die Notaufnahme sehr freundlich und dennoch professionel. Ich wurde dann auf die Station E aufgenommen. Schwestern, Ärztinnen und alle anderen Angestellte waren sehr freundlich. Es erfolgten zwei Untersuchungen, und auch hier war das Vorgehen einfühlsam und doch professionell.  Bei Untersuchungen gibt es kein stundenlanges warten auf dem Flur, sondern man wird zu der Untersuchung gebracht, wenn sie auch tatsächlich stattfindet. Man wird über alle Ergebnisse relativ zeitnah informiert.  Essen ist aus meiner Sicht sehr gut. Man wird interviewt und hat sehr viel Einfluss auf das, was auf dem Tablett ankommt.  Aus meiner Sicht: ein sehr gutes Klinikum, in dem ich mich ernst genommen, freundlich behandelt und insgesamt gut aufgehoben gefühlt habe.",5,Positiv,0.6090909090909091,Positiv
Herzogin Elisabeth Hospital,"Leider kann man keine 0 Sterne geben. War am 15.11.20 Nachmittags in der Notaufnahme gewesen, weil ich starke Schmerzen hatte. Lieben Gruß an den Arzt in der Notaufnahme, man kann auch mit 36Jahren ostechondrose und weitere Erkrankungen an der HWS haben. Wurden durch ein MRT bestätigt.  Vielen Dank für nichts Magdalena Jordan",1,Negativ,0.33999999999999997,Positiv
Herzogin Elisabeth Hospital,"zügige, professionelle Untersuchung und Diagnose in der Notaufnahme - danke schön!",5,Positiv,1.0,Positiv
Herzogin Elisabeth Hospital,Ein besseres Krankenhaus gibt es nicht. 👍🏻👍🏻,5,Positiv,0.0,Negativ
Herzogin Elisabeth Hospital,"Meine Tante wurde dort operiert. Neue Hüfte. Sie war sehr traurig über das Verhalten der Schwestern und ihrem Arzt,da sie sich nicht ernst genommen gefühlt hatte. Sie wurde auch mit starken Schmerzen entlassen, und durch ihre Vergangenheit, denn dies war schon ihre 4. Hüft - OP, wollte sie auch nur noch nach Hause. Ich dachte auf Grund des relativ guten Rufes wäre es nur eine Ausnahme, habe mich allerdings getäuscht! Mein Sohn hatte eine Kreuzband- und Miniskus OP, und wurde gleich nach der OP mit den Worten von einer Schwester abgespeist : 'Sie hatten eine Operation, das tut halt weh.' und so etwas war leider kein Einzelfall! Nach nur einer Nacht wurde er auch wieder entlassen. Sein Orthopäde war sprachlos darüber! Auch unsere Hausärztin. Wirklich traurig, das ein Unternehmen, was für den Menschen da sein sollte, diese nicht ernst nimmt, und nur an den Profit denkt! An den Operationen verdienen, aber die Nachsorge vernachlässigen!",1,Negativ,-0.45769230769230773,Negativ
Herzogin Elisabeth Hospital,"Missglückte Hüft-Tep. Ein Stern für die gute Organisation und die netten Mitarbeiter. Das Ergebnis der OP war leider mangelhaft. Nach neun schmerzhaften Monaten und fehlender Belastbarkeit des Beins, habe ich, in Ermangelung eines sinnvollen Konzeptes im HEH, eine Revision durch einen sehr erfahrenen Operateur in einer anderen Klinik durchführen lassen. Jetzt ist die Hüfte wieder schmerzfrei benutzbar, ob sich die restlichen Schäden durch die Erst-OP zurückentwickeln ist jedoch fraglich. Ich war zum Zeitpunkt der OP erst 50 Jahre alt, sportlich aktiv, voll im Berufsleben  und habe alle Empfehlungen des HEH eingehalten.",1,Negativ,0.35833333333333334,Positiv
Herzogin Elisabeth Hospital,Die Ärzte sind sehr gut die Schwestern sind immer freundlich. Das essen ist klasse weil es im Haus zubereitet wird . Ich würde jeden das Haus empfehlen.,5,Positiv,0.6666666666666666,Positiv
Herzogin Elisabeth Hospital,"Meine Mutter saß mit einem dreifachen Bandscheibenvorfall in der Notaufnahme aufgrund von starken Schmerzen und musste sechs Stunden warten. Es durfte keiner zu ihr und sie hatte die ganze Zeit nichts zu essen oder zu trinken. Dann hatte sie auch noch die starken Schmerzen am Rücken und diese sechs Stunden sitzen waren die Hölle für sie. Schließlich ist sie dann trotz der Schmerzen ohne Behandlung gegangen, weil sie ohne Verpflegung und mit Maske Schwindelanfälle bekam. Das Personal war sehr unprofessionell und unfreundlich. Einfach nur enttäuscht wie man mit Menschen umgeht denen es sehr schlecht geht.",1,Negativ,-0.2388888888888889,Negativ
Herzogin Elisabeth Hospital,"Hallo Ich habe am 26.6.20 eine Schlittenprothese , im linken Knie, durch Frau Dr. Michalek erhalten. Es ist alles wunderbar , auch ohne Reha,verlaufen . Nach 2 Wochen war wieder eine gute Lebensqualität erreicht . Ich kann dieses  Krankenhaus jedem , zumal der ganze Behandlungsablauf sehr gewissenhaft  durchgeführt wurde, nur empfehlen!! Nicht zu vergessen die Schwestern und das andere Personal .Danke.",5,Positiv,0.31999999999999995,Positiv
Herzogin Elisabeth Hospital,"Meine Mama, 84 Jahre, wird erst nächste Woche operiert. Sie bekommt ein neues Knie Gelenk. Wir wurden so umfassend beraten, sowohl beim Patientenseminar als auch bei der vorstationären Aufnahme, da kann man nur fünf Sterne vergeben. Es ist alles super organisiert und man fühlt sich vorab gut aufgehoben. Hoffentlich verläuft die OP auch so gut.",5,Positiv,0.54,Positiv
Herzogin Elisabeth Hospital,"Auf mich macht das Krankenhaus einen ziemlich veralteten Eindruck. Zimmer ungemütlich und klein, Bettenanordnung schlecht, nebeneinander anstatt schräg gegenüber, nur ein Fernseher für zwei Patienten. Badezimmer zwar groß und behindertengerecht, aber für meinen Geschmack nicht sauber genug, gerade im Krankenhaus sollte darauf doch besonderen Wert gelegt werden. Schwestern und zuständiges Ärzteteam sehr nett und bemüht. Das andere Personal zum Teil unmöglich, stürzen ins Zimmer ohne zu klopfen, unhöflich und pampig. Wenn man auf den Fluren grüßt, wird man mit großen Augen angeschaut, ist dort wohl nicht üblich... Leider hab ich mir auch mehr von der Behandlung versprochen, aber ich denke das ist individuell zu sehen.",2,Negativ,-0.10555555555555558,Negativ
Herzogin Elisabeth Hospital,"Es ist auch nicht so ein steriles Gefühl für den Besucher, oder auch Patienten zu erfühlen - WIE es jetzt bei anderen KH's raus zu fühlen ist und man fühlt sich ja auch gleich mal - mit einer gewissenhaften - aber trotzdem sehr menschlichen Wärme in diesem KH ""angenommen""❣👍, dass ist ja auch noch ein wichtiger + AUCH gelebter Bestandteil der ganzen Klinik und WIRD auf den Stationen, bzw. Ambulanz(en) fortgesetzt wird❗ Kann mich freuen, dass WENN ich auch schon mal wieder einen KH-Aufendhalt über MICH ergehen lassen mußte, HIER immer medizinisch GUT und freundlich behandelt werde, was ICH ja auch - ZUR schnellen Gesundung - brauche, SEHR zufrieden UND auch gerne mal kurz anzumerken habe. Spielt eine wichtige Rolle ..., ciao ciao vom Franco.😎❣ Und ein SEHR dankbares 👋 AN die GANZE ""Familie""(Mitarbeiter/Ärzte) der Klinik ""HeH Meverode""❣👍",4,Positiv,0.8200000000000001,Positiv
Herzogin Elisabeth Hospital,"Wir hatten natürlich Glück, da trotz Feiertags nichts los war. Dennoch muss ich sagen, dass uns in der Notaufnahme hier extrem freundlich geholfen wurden. Einfach sehr menschlich!",5,Positiv,0.85,Positiv
Herzogin Elisabeth Hospital,Es ist alles sehr Sauber und gepflegt ! Die Stationen sind sehr gut ausgeschildert ! Dadurch läst sich alles sehr leicht finden ! Die Schwestern sind sehr kompetent  freundlich und hilfsbereit  !  Eine gute Kantine gibt es auch noch im Erdgeschoss  ! Es gibt verschiedene Sorten Frühstück; Mittag essen; Kaffee und Kuchen  ! Es ist alles sehr Sauber und lecker !,5,Positiv,0.38571428571428573,Positiv
Herzogin Elisabeth Hospital,"Nach einem Fahrradsturz hatte ich eine Verletzung an der Schulter, die operiert werden musste. In der Notaufnahme, beim Röntgen, bei der voroperativen Aufnahme, bei der Narkose und auf der Station wären durchweg alle Mitarbeiter sehr freundlich und sehr engagiert. Die Leistung der Ärzte ist hervorragend und nicht umsonst bundesweit geschätzt. Das Essen und der weitere Service waren auch super. Wenn man schon ins Krankenhaus muss, dann doch gerne ins HEH. Herzlichen Dank an alle Mitarbeiter!",5,Positiv,0.47500000000000003,Positiv
Herzogin Elisabeth Hospital,"Wie steigert man Dankbarkeit???? Ich bekam eine Darmkrebsdiagnose und wurde nicht wirklich von meinem Internisten gut begleitet  - durch ein großes Glück und Zufall kam ich ins HEH - wo sehr gute Energie  - viele unzählige helfende Hände und unglaubliche Ärzte , die ich so noch nie erlebt habe  - ein Zusammspiel ergaben, wo ich sanft aufgefangen wurde  - Ich wurde erfolgreich operiert und der Krebs entfernt💚💚💚 Dass ich mich so schnell erholt habe - lag u.a. am HEH - dafür kann ich heute nur 1000 Dank sagen - bleibt alle gesund und munter 🤩",5,Positiv,0.3277777777777778,Positiv
Herzogin Elisabeth Hospital,"Es war mein erster längerer Aufenthalt in einem Krankenhaus. Das Personal von den Pflegekräften bis zu den Ärzten super! Schöne Zimmer, gute Cafeteria und ein schönes Gelände um das Krankenhaus. Das Essen ist abwechslungsreich und man kann (wenn man darf) täglich variieren. Natürlich ist es in einem Krankenhaus teilweise stressig, das darf man nicht als Kritikpunkt sehen. Genau wie die Notaufnahme. Wenn man mit Beschwerden kommt welche auch ein „normaler“ Arzt behandeln kann, ist die Wartezeit natürlich normal. Es geht nach Schweregrad nicht nach Reihenfolge.",5,Positiv,0.42500000000000004,Positiv
Herzogin Elisabeth Hospital,Sehr nettes Personal wurde mehrfach hier operiert immer ohne Probleme und vor alles immer alles Top danach gewesen.,5,Positiv,1.0,Positiv
Herzogin Elisabeth Hospital,"Meine Mutter wurde hier operiert, der Arzt rief mich nach der OP an um mich zu informieren das alles gut geklappt hat. Das Pflegepersonal ist hervorragend, super nett und hilfsbereit. So liebevoll wie man hier behandelt wird das kann man kaum glauben. 100%ige Empfehlung!!!",5,Positiv,0.5,Positiv
Herzogin Elisabeth Hospital,"Operation von meinem Mann, vier mal verschoben, vier mal umsonst Urlaub genommen.... jetzt wieder, weil ein Gespräch plötzlich zu alt ist. Dabei war es letzten Freitag noch ausreichend. 😈😈😈",1,Negativ,0.2333333333333333,Positiv
Herzogin Elisabeth Hospital,"Sehr nett, geringe Wartezeit und kompetenter Arzt. Beste KH weit und breit.",5,Positiv,0.07500000000000001,Positiv
Herzogin Elisabeth Hospital,"Mein Zimmer auf der Station 6 war schön, es gab ausreichend Personal. Die Fachkräfte gaben sich die Klinke in die Hand. Alle waren sehr nett und ich habe mich bei Professor Heller sehr gut aufgehoben gefühlt. Auch das Essen verdient Lob. Vielen Dank.",5,Positiv,0.37,Positiv
Herzogin Elisabeth Hospital,"Die Aufenthaltszeit war super, vielen Dank an das tolle Team!",5,Positiv,0.5,Positiv
Herzogin Elisabeth Hospital,"Gute Beratung, Personal nimmt sich Zeit und wirkt professionell!",5,Positiv,1.0,Positiv
Herzogin Elisabeth Hospital,"🇩🇪🏥👍😄👏 Sehr gutes, gepflegtes Krankenhaus mit klasse Ärzten und Krankenschwestern und Pflegern sowie Physiotherapeuten. 🏥👍👍😄",5,Positiv,0.5,Positiv
Herzogin Elisabeth Hospital,"Beste Krankenhaus und Personal.Mein Vater war letztes Jahr mal dort wegen LUFTNOT,er wurde gut versorgt und wieder Aufgebaut.Der Chefarzt  Dr.Linder ist super Menschlich und eine wie Du und Ich.Danke für die gute Versorgung auch an die Ärztinen,nur ein Stationsarzt war sehr Arogant und Unfreundlich,Empathie  gleich Null.Aber man muß sich ja nichts gefallen lassen. Wenn ich kann ,dann nur da hin😃👍",5,Positiv,0.25,Positiv
Herzogin Elisabeth Hospital,Bin sehr zu Frieden vielen Dank,5,Positiv,0.0,Negativ
Herzogin Elisabeth Hospital,Super Krankenhaus. Alles Top. Vielen Dank❤️,5,Positiv,0.3333333333333333,Positiv
Herzogin Elisabeth Hospital,Ein großes Lob an die Ärzte und Schwestern der Medizinischen Klinik um Dr. Lindner und den tollen Schwestern! Sie haben meine Mutter von der Aufnahme bis zur Verlegung in eine andere Klinik fantastisch begleitet und ihr die Angst vor dem Eingriff genommen. Sie fühlte sich gut bei Ihnen aufgehoben - vielen Dank dafür!  5 von 5 Sternen von uns! Da können sich viele andere Kliniken aus dieser Stadt eine Scheibe abschneiden!,5,Positiv,0.47000000000000003,Positiv
Herzogin Elisabeth Hospital,"Notaufnahme saumässig, trotz starker Schmerzen und fast leerem Wartezimmer stundenlanges warten. Absolut nicht empfehlenswert",1,Negativ,0.39999999999999997,Positiv
Herzogin Elisabeth Hospital,"Fehlende Kommunikation zwischen Ärzten, Pflegern und Patienten. Allerdings sind die Pfleger sehr Nett gewesen und die Zimmer waren auch vernünftig.",3,Positiv,0.5,Positiv
Herzogin Elisabeth Hospital,"Nach einem Ärzte Pfusch in Salzgitter Helios bin ich sofort in das HEH Krankenhaus in Braunschweig und berreue es auch keine Sekunde. Die Klinik ist super ! Das Personal, die Ärzte einfach alle und alles war super. Ein großes Dankeschön geht an Dr. Teschke und Dr. Nerreter. Von Anfang an wusste Dr. Teschke sofort wie man meine Bauchspeicheldrüsenentzündung sofort am besten behandelt. Zudem musste ich mit den Schmerzen nicht mal in der Notaufnahme warten und wurde von Anfang an sehr ernst genommen. Und Dr. Nerreter hat meinen ERCP Eingriff gemacht und muss wirklich gestehen das ich mich schon von Anfang an einfach in besten Händen gefühlt habe. Selbst danach haben die Ärzte immer ganz lieb nach einem gefragt. Zudem waren alle Schwestern auf der Intensivstation sowie auch auf der normalen Station super lieb. Ich danke euch allen für die Geduld und die tolle Arbeit die ihr jeden Tag leisten müsst. Ich kann die Klinik jedem weiterempfehlen❤️💪🏼",5,Positiv,0.43636363636363634,Positiv
Herzogin Elisabeth Hospital,"Diese Klinik ist das Beste, was es im weiten Umkreis gibt! Ärztliche Versorgung und Pflege sind optimal, Ausstattung und OP-Techniken hochmodern. Außerdem sind hier alle so freundlich und menschlich, dass man auch Lebenskrisen bewältigen kann. Von dieser Klinik können die meisten anderen noch viel lernen!",5,Positiv,0.5,Positiv
Herzogin Elisabeth Hospital,"Mitarbeiter beachten einen gar nicht, wenn man da sitzt und die ganze zeit schmerzen hat werden andere Personen trotzdem vorgezogen. Inkompetentestes Krankenhaus in dem ich je war!!! Ich nie wieder",1,Negativ,-0.16666666666666666,Negativ
Herzogin Elisabeth Hospital,"Sehr nettes Personal in der Notaufnahme. Wenn man mal länger warten muss dann liegt es daran das dringende Notfälle vorgezogen werden, und da sollte man ja wohl Verständnis für haben und nicht das Personal beschimpfen.",5,Positiv,0.0,Negativ
Herzogin Elisabeth Hospital,"Ich habe mich noch nie so umsorgt und verstanden gefühlt wie hier. Bin in die Notaufnahme mit Einweisung und hatte nicht dran geglaubt das man mir endlich hilft.  Total freundliches Personal, natürlich dauerte alles etwas aber es ist eine Notaufnahme ""an alle anderen Patienten "" habt doch ein bisschen mehr Geduld. Ich glaube Manuela und Dennis haben mich aufgenommen da kann man nur 5 Sterne geben. Nett , humorvoll und sehr sympathisch. Jetzt werde ich hier auf den Kopf gestellt und habe bisher nicht eine schlecht gelaunte oder Wort karge Person getroffen . Auch die Ärzte alle ein lächeln suf den Lippen habe so etwas noch nicht erlebt ,Danke. Station E",5,Positiv,0.37083333333333335,Positiv
Herzogin Elisabeth Hospital,"Bin mit Atemnot dort gewesen, mir wurde gesagt das es ein physisches Problem sei, außerdem hat sich die Ärztin darüber aufgeregt das ich gar nicht dort sein dürfte. Mittlerweile wurde ich operiert an der Nase, hätte mir jemand damals im Krankenhaus geholfen, hätte ich eine Menge Qualen weniger gehabt. Mittlerweile kriege ich Luft.",1,Negativ,0.0,Negativ
Herzogin Elisabeth Hospital,"Habe im Oktober 2017 Knieprothese bekommen. Sehr gut verlaufen. Personal, Zimmer, Essen sehr gut. Werde gerne wiederkommen (wenn nötig)!",5,Positiv,0.5,Positiv
Herzogin Elisabeth Hospital,"Freundliches und kompetentes Personal. Sehr sauberes Krankenhaus, Toiletten sowie Zimmer. Das Essen ist super. Abwicklung und Ablauf von OP super! Es ist halt ein Krankenhaus und kein 5* Urlaubshotel. Kann ich nur weiterempfehlen!",5,Positiv,0.16666666666666666,Positiv
Herzogin Elisabeth Hospital,"Nettes, kompetentes Ärzteteam, Zimmer und Verpflegung sehr gut. Die Schwestern höflich und umsichtig. Mir wurde geholfen und wenn ich ins KH muß, gehe ich mit einem guten Gefühl ins HEH.",5,Positiv,1.0,Positiv
Herzogin Elisabeth Hospital,"Ich wurde in der Notaufnahme aufgenommen, sehr freundliche Ärzte dort!!! Das Krankenhaus ist sehr modern, technisch wie auch baulich.meine Tochter wurde hier auch schon letztes Jahr 2x am Fuß operiert (links und rechts), alles gut verlaufen!",5,Positiv,1.0,Positiv
Herzogin Elisabeth Hospital,"Morgen geht es Richtung Heimat. Ich Blicke auf 5 Tage zurück in ne eine letzte Nacht erwartet mich noch. Das Krankenhaus bietet ein sehr angenehmes Ambiente, Top Ärzte und ein spitzenmässiges Pflegeteam auf Station 2. Es wird sich gekümmert und das nicht nur oberflächlich. Als Schmerzpatient kommt man sich gut aufgehoben vor. Hier fühlt man sich wohl und nicht abgestellt wie in einem kommerzialisierten Bettenbunker. Die Effizienz und Sorgfalt leidet nicht unter diesem tollen Umfeld. Wenn ich wieder in ein KH muss, dann bitte hierher!",5,Positiv,0.5,Positiv
Herzogin Elisabeth Hospital,"Von der Notaufnahme bis zur Entlassung einfach Klasse. Alle Ärzte - vom Stationsarzt bis zum Chefarzt - immer gesprächsbereit und sehr kompetent . Pflegepersonal immer hilfsbereit und zuvorkommend. Hygiene in allen Bereichen TOP. Pflegezimmer vom Bad bis zum Bett TOP. Danke an die  "" Grünen Damen "" für die Betreuung !! Wenn man nicht krank wäre - wie in einem Hotel !!",5,Positiv,0.66875,Positiv
Herzogin Elisabeth Hospital,"Mir wurden vor kurzem Drähte und Schrauben in meinen Fuß operiert, welche nun jedoch extreme Probleme verursachen mit Höllenschmerzen und möglicherweise auch Langzeitschäden wenn sie nicht schnellstmöglich wieder heraus genommen werden. In diesem Krankenhaus habe ich versucht das Problem zu schildern, jedoch darf man nicht mal aussprechen sondern wird direkt unterbrochen. Dann bekommt man einen Gesprächstermin für in 3 Monaten!! Da das noch nicht genug ist, kann man mir dann aber noch keinen op Termin nennen - was mindestens noch mal eine Wartezeit von einem Monat bedeutet. Auch hier wird man frech unterbrochen. Wenn das schon so anfängt, kann man vermutlich nur froh sein, dass man hier nicht operiert wird. Meiner Ansicht nach absolut nicht zu empfehlen wenn man so mit Patienten umgeht.",1,Negativ,0.17142857142857143,Positiv
Herzogin Elisabeth Hospital,Ich lag 10 Wochen im heh und kann sagen das  die Ärzte und Schwestern  und alles was da noch dran hing super waren. Es gab Schwestern die ein bisschen kratzbürstig waren aber sonst.haben alles getan damit es mir wieder super geht. Schönen Dank für alles.  .,5,Positiv,0.0,Negativ
Herzogin Elisabeth Hospital,"Ich habe sehr gute Erfahrungen mit dem HEH gemacht. Sowohl die Betreuung durch die Ärzte als auch die pflegerische Betreuung durch die Schwestern ist hervorragend. Die Ärzte haben alles verständlich erklärt, die Ärzte haben sich ausreichend Zeit genommen, Nachfragen beantwortet. Die Angst vor einer OP wurde einem wunderbar genommen durch sehr einfühlsame Gespräche und Scherze. Essen war auch sehr gut. Rundherum war es eine sehr gute Betreuung.",5,Positiv,0.9500000000000001,Positiv
Herzogin Elisabeth Hospital,Sehr gute Ärzte und Pflegekräfte. Sauber. Professor Dr. Heller ein Genie in seinem Fach und das gleiche gilt für Dr. Thorban und alle Kollegen. Essen für den Privatpatient ist sehr gut.,5,Positiv,0.5,Positiv
Herzogin Elisabeth Hospital,"Am 15.11.2018 Hüft-Tep links erhalten. Hatte 30 Jahre Arthrose bis hin zum Endstadium Cox-Arthrose durch Sportverschleiß. zum Schluss konnte ich so gut wie gar nicht mehr auftreten und habe das Bein nachgezogen. War bei Prof.Dr.med Heller. Alles Top!!! Jetzt habe ich keine Schmerzen mehr und kann so gut wie alles wieder machen. Ein Wahnsinns-Gefühl. Vielen Dank dafür, auch an das ganze Team. P.S. Wer sich für eine OP entscheidet, unbedingt vorher das Patienten-Seminar besuchen. Hier wird man gut auf die OP vorbereitet. Viele Grüsse",5,Positiv,0.23611111111111108,Positiv
Herzogin Elisabeth Hospital,"Tolle Klinik, haben alle auch für ältere Patienten viel Verständnis. In der Chirurgie tolle Ärzte, fachlich kompetent und menschlich okay. Pflegekräfte super! Einfach nur empfehlenswert!",5,Positiv,0.5875,Positiv
Herzogin Elisabeth Hospital,Eine super tolle Klinik mit tollen Ärzten und Ärzteninnen und Pflegepersonal .Ich habe mich sehr gut aufgehoben gefühlt .Die Sauberkeit ist top und auf Wünsche wird unheimlich gut eingegangen .Ich war mit starken Hand und Fussgelenkschmerzen hier mit schmerzhaften Wassereinlagerungen .Nur leider sind Autoemunkrankheiten schwer zu greifen .Ich hoffe auf den letzten Tag hier und kann nur sagen top Klinik .Danke an das gesamte Team des HEH Braunschweig,5,Positiv,0.9571428571428572,Positiv
